Format,RaceBox CSV,,,,,,,,,,,
Data Source,RaceBox 2231805086,,,,,,,,,,,
Date UTC,2025-10-22T19:27:56+00:00,,,,,,,,,,,
Date,22/10/2025,,,,,,,,,,,
Time,7/27/1956,,,,,,,,,,,
Session Index,1,,,,,,,,,,,
Session Type,Track,,,,,,,,,,,
Track,No Track,,,,,,,,,,,
Configuration,,,,,,,,,,,,
Laps,0,,,,,,,,,,,
Best Lap Time,207.68,,,,,,,,,,,
,,,,,,,,,,,,
Record,Time,Latitude,Longitude,Altitude,Speed,GForceX,GForceY,GForceZ,Lap,GyroX,GyroY,GyroZ
1,2025-10-22T19:27:56.000Z,36.1405896,-86.7333121,550.3,15.69,-0.286,0.238,-0.228,0,0.13,-0.44,9.17
2,2025-10-22T19:27:56.040Z,36.1405913,-86.7333099,550.3,15.86,-0.247,0.275,-0.156,0,0.5,-0.59,12.27
3,2025-10-22T19:27:56.080Z,36.1405931,-86.7333077,550.3,15.86,-0.183,0.312,0.064,0,0.78,0,15.26
4,2025-10-22T19:27:56.120Z,36.1405951,-86.7333057,550.4,15.73,-0.122,0.357,0.373,0,0.65,0.88,17.84
5,2025-10-22T19:27:56.160Z,36.140597,-86.7333036,550.4,15.66,-0.083,0.376,0.635,0,0.4,1.57,19.9
6,2025-10-22T19:27:56.200Z,36.1405989,-86.7333017,550.5,15.43,-0.071,0.394,0.791,0,-0.09,1.83,21.56
7,2025-10-22T19:27:56.240Z,36.1406009,-86.7332998,550.5,15.39,-0.069,0.385,0.881,0,-0.43,1.88,22.55
8,2025-10-22T19:27:56.280Z,36.1406028,-86.7332981,550.5,15.41,-0.051,0.367,0.806,0,-0.43,1.91,23.38
9,2025-10-22T19:27:56.320Z,36.1406047,-86.7332962,550.5,15.43,-0.047,0.365,0.627,0,-0.29,1.94,24.32
10,2025-10-22T19:27:56.360Z,36.1406068,-86.7332943,550.6,15.75,-0.072,0.397,0.468,0,0.07,1.77,25.6
11,2025-10-22T19:27:56.400Z,36.140609,-86.7332926,550.6,16.06,-0.103,0.437,0.366,0,0.2,1.86,27.41
12,2025-10-22T19:27:56.440Z,36.1406113,-86.733291,550.7,15.96,-0.105,0.496,0.358,0,0.23,2.24,29.63
13,2025-10-22T19:27:56.480Z,36.1406134,-86.7332895,550.7,15.69,-0.104,0.543,0.428,0,-0.11,2.43,31.89
14,2025-10-22T19:27:56.520Z,36.1406156,-86.7332881,550.7,15.55,-0.113,0.565,0.484,0,-0.28,2.7,34.07
15,2025-10-22T19:27:56.560Z,36.140618,-86.7332867,550.8,15.58,-0.075,0.584,0.535,0,-0.49,2.62,36.07
16,2025-10-22T19:27:56.600Z,36.1406202,-86.7332855,550.8,15.67,-0.03,0.59,0.57,0,-0.52,2.68,37.8
17,2025-10-22T19:27:56.640Z,36.1406226,-86.7332843,550.8,15.86,-0.013,0.58,0.545,0,-0.6,3.04,39.37
18,2025-10-22T19:27:56.680Z,36.1406251,-86.7332833,550.8,15.9,-0.033,0.57,0.506,0,-0.49,3.24,40.69
19,2025-10-22T19:27:56.720Z,36.1406275,-86.7332823,550.8,15.85,-0.065,0.562,0.49,0,-0.21,3.28,41.59
20,2025-10-22T19:27:56.760Z,36.1406299,-86.7332812,550.9,15.95,-0.102,0.558,0.467,0,-0.14,3.1,42.18
21,2025-10-22T19:27:56.800Z,36.1406326,-86.7332806,550.9,16,-0.117,0.552,0.462,0,-0.39,2.89,42.67
22,2025-10-22T19:27:56.840Z,36.140635,-86.7332799,550.9,16,-0.155,0.545,0.396,0,-0.48,2.35,43.06
23,2025-10-22T19:27:56.880Z,36.1406375,-86.7332793,550.9,15.91,-0.178,0.551,0.371,0,-0.35,1.69,43.28
24,2025-10-22T19:27:56.920Z,36.1406401,-86.7332787,550.9,15.96,-0.165,0.557,0.408,0,-0.12,1.18,43.67
25,2025-10-22T19:27:56.960Z,36.1406427,-86.7332783,551,16.17,-0.139,0.563,0.469,0,0.12,1.7,44.2
26,2025-10-22T19:27:57.000Z,36.1406453,-86.7332778,551,16.04,-0.113,0.585,0.575,0,0.52,1.48,44.52
27,2025-10-22T19:27:57.040Z,36.1406478,-86.7332778,551,16,-0.142,0.605,0.619,0,0.55,1.81,44.93
28,2025-10-22T19:27:57.080Z,36.1406504,-86.7332776,551.1,15.94,-0.161,0.616,0.589,0,0.41,1.94,45.29
29,2025-10-22T19:27:57.120Z,36.140653,-86.7332776,551.1,16.03,-0.158,0.628,0.56,0,0.33,2.22,45.72
30,2025-10-22T19:27:57.160Z,36.1406557,-86.7332778,551.1,16.1,-0.141,0.642,0.503,0,0.47,2.12,46.3
31,2025-10-22T19:27:57.200Z,36.1406582,-86.7332781,551.1,16.02,-0.11,0.648,0.445,0,0.44,2.48,47.22
32,2025-10-22T19:27:57.240Z,36.1406608,-86.7332785,551.1,16.2,-0.069,0.664,0.436,0,0.33,2.92,48.07
33,2025-10-22T19:27:57.280Z,36.1406634,-86.733279,551.2,16.25,-0.081,0.687,0.421,0,0.1,2.64,48.99
34,2025-10-22T19:27:57.320Z,36.140666,-86.7332795,551.2,16.27,-0.082,0.703,0.384,0,-0.38,2.38,49.87
35,2025-10-22T19:27:57.360Z,36.1406685,-86.7332804,551.2,16.26,-0.085,0.701,0.4,0,-0.74,2.26,50.67
36,2025-10-22T19:27:57.400Z,36.1406711,-86.7332812,551.2,16.38,-0.103,0.699,0.421,0,-0.61,2.18,51.63
37,2025-10-22T19:27:57.440Z,36.1406736,-86.7332821,551.3,16.35,-0.115,0.698,0.415,0,-0.71,2.1,52.77
38,2025-10-22T19:27:57.480Z,36.140676,-86.7332833,551.3,16.18,-0.136,0.709,0.377,0,-0.15,2.78,53.83
39,2025-10-22T19:27:57.520Z,36.1406785,-86.7332845,551.3,16.26,-0.194,0.74,0.318,0,0.3,2.96,55.08
40,2025-10-22T19:27:57.560Z,36.1406809,-86.7332861,551.3,16.4,-0.209,0.784,0.29,0,0.5,3.84,56.73
41,2025-10-22T19:27:57.600Z,36.1406832,-86.7332876,551.3,16.4,-0.217,0.824,0.233,0,0.61,4.56,58.36
42,2025-10-22T19:27:57.640Z,36.1406854,-86.7332893,551.3,16.29,-0.212,0.835,0.212,0,0.98,4.78,60.03
43,2025-10-22T19:27:57.680Z,36.1406876,-86.733291,551.3,16.31,-0.226,0.832,0.196,0,0.8,5.14,61.5
44,2025-10-22T19:27:57.720Z,36.1406898,-86.7332931,551.3,16.39,-0.26,0.808,0.143,0,0.74,5.44,62.38
45,2025-10-22T19:27:57.760Z,36.1406918,-86.7332951,551.4,16.31,-0.306,0.786,0.093,0,0.81,4.21,62.63
46,2025-10-22T19:27:57.800Z,36.1406937,-86.7332972,551.4,16.24,-0.29,0.76,0.154,0,0.62,3.79,62.18
47,2025-10-22T19:27:57.840Z,36.1406958,-86.7332995,551.4,16.25,-0.308,0.753,0.147,0,0.53,3.29,61.4
48,2025-10-22T19:27:57.880Z,36.1406976,-86.7333017,551.4,16.29,-0.278,0.74,0.214,0,0.05,3.68,60.56
49,2025-10-22T19:27:57.920Z,36.1406994,-86.7333041,551.4,16.28,-0.279,0.749,0.259,0,-0.08,3.98,59.84
50,2025-10-22T19:27:57.960Z,36.140701,-86.7333066,551.4,16.26,-0.301,0.737,0.278,0,-0.72,4.09,59.32
51,2025-10-22T19:27:58.000Z,36.1407025,-86.7333091,551.4,16.2,-0.32,0.713,0.265,0,-0.82,3.45,58.9
52,2025-10-22T19:27:58.040Z,36.1407041,-86.7333117,551.4,16.22,-0.285,0.696,0.319,0,-1.12,3.35,58.38
53,2025-10-22T19:27:58.080Z,36.1407056,-86.7333144,551.4,16.3,-0.241,0.668,0.375,0,-1.22,2.4,57.72
54,2025-10-22T19:27:58.120Z,36.140707,-86.7333172,551.4,16.33,-0.187,0.64,0.487,0,-1.21,2.41,56.53
55,2025-10-22T19:27:58.160Z,36.1407083,-86.73332,551.4,16.37,-0.163,0.603,0.599,0,-1.09,2.92,54.89
56,2025-10-22T19:27:58.200Z,36.1407096,-86.7333227,551.4,16.16,-0.15,0.587,0.735,0,-0.56,3.73,52.9
57,2025-10-22T19:27:58.240Z,36.1407108,-86.7333255,551.4,16.08,-0.182,0.561,0.831,0,-0.39,4.02,50.85
58,2025-10-22T19:27:58.280Z,36.140712,-86.7333284,551.4,15.87,-0.232,0.544,0.885,0,-0.25,4.04,48.78
59,2025-10-22T19:27:58.320Z,36.140713,-86.7333312,551.4,15.6,-0.25,0.527,0.871,0,-0.41,3.51,47.04
60,2025-10-22T19:27:58.360Z,36.1407139,-86.733334,551.4,15.29,-0.283,0.503,0.795,0,-0.6,2.48,45.53
61,2025-10-22T19:27:58.400Z,36.1407148,-86.7333368,551.3,15.15,-0.296,0.475,0.715,0,-0.75,2.2,44.13
62,2025-10-22T19:27:58.440Z,36.1407156,-86.7333395,551.3,15.17,-0.275,0.48,0.677,0,-0.62,1.71,43
63,2025-10-22T19:27:58.480Z,36.1407164,-86.7333425,551.3,15.22,-0.207,0.473,0.635,0,-0.41,1.01,42.33
64,2025-10-22T19:27:58.520Z,36.1407171,-86.7333454,551.3,15.26,-0.186,0.456,0.529,0,-0.36,0.57,41.8
65,2025-10-22T19:27:58.560Z,36.1407177,-86.7333482,551.3,15.2,-0.223,0.458,0.318,0,-0.11,0.3,41.5
66,2025-10-22T19:27:58.600Z,36.1407183,-86.7333512,551.3,15.42,-0.339,0.452,-0.003,0,-0.05,-0.3,41.57
67,2025-10-22T19:27:58.640Z,36.1407188,-86.7333543,551.3,15.86,-0.44,0.449,-0.303,0,-0.35,-0.32,41.85
68,2025-10-22T19:27:58.680Z,36.1407193,-86.7333576,551.3,16.36,-0.575,0.453,-0.589,0,-0.74,0.61,42.28
69,2025-10-22T19:27:58.720Z,36.1407197,-86.7333609,551.2,16.79,-0.646,0.467,-0.717,0,-0.67,1.77,42.75
70,2025-10-22T19:27:58.760Z,36.14072,-86.7333643,551.2,16.89,-0.62,0.476,-0.678,0,-0.56,3.06,43.12
71,2025-10-22T19:27:58.800Z,36.1407201,-86.7333675,551.2,16.65,-0.576,0.49,-0.584,0,-0.4,4.26,43.31
72,2025-10-22T19:27:58.840Z,36.1407203,-86.7333707,551.2,16.35,-0.563,0.486,-0.513,0,0.02,4.47,43.25
73,2025-10-22T19:27:58.880Z,36.1407204,-86.7333741,551.2,16.53,-0.555,0.502,-0.499,0,0.01,4.45,43.2
74,2025-10-22T19:27:58.920Z,36.1407204,-86.7333774,551.2,17.08,-0.554,0.512,-0.546,0,-0.16,4.43,43.14
75,2025-10-22T19:27:58.960Z,36.1407203,-86.733381,551.1,17.68,-0.589,0.537,-0.651,0,-0.23,4.94,43.44
76,2025-10-22T19:27:59.000Z,36.1407201,-86.7333845,551.1,17.87,-0.589,0.537,-0.692,0,-0.64,5.51,44.15
77,2025-10-22T19:27:59.040Z,36.1407199,-86.7333881,551.1,17.95,-0.622,0.566,-0.746,0,-0.88,6.32,45.4
78,2025-10-22T19:27:59.080Z,36.1407195,-86.7333918,551,18.1,-0.614,0.587,-0.733,0,-1.07,6.98,47.11
79,2025-10-22T19:27:59.120Z,36.1407189,-86.7333952,551,18.2,-0.646,0.614,-0.744,0,-1.16,7.61,49.58
80,2025-10-22T19:27:59.160Z,36.1407182,-86.7333988,551,18.47,-0.628,0.657,-0.736,0,-1.43,7.81,52.84
81,2025-10-22T19:27:59.200Z,36.1407174,-86.7334024,550.9,18.89,-0.576,0.724,-0.746,0,-1.13,7.75,56.71
82,2025-10-22T19:27:59.240Z,36.1407165,-86.7334062,550.9,19.31,-0.455,0.766,-0.636,0,-0.73,7.78,60.98
83,2025-10-22T19:27:59.280Z,36.1407153,-86.7334098,550.9,19.42,-0.332,0.817,-0.395,0,-0.29,7.91,65.1
84,2025-10-22T19:27:59.320Z,36.1407144,-86.7334134,550.8,19.62,-0.22,0.869,-0.102,0,-0.34,8.02,69.25
85,2025-10-22T19:27:59.360Z,36.1407129,-86.7334169,550.8,19.67,-0.177,0.914,0.221,0,0.06,7.65,72.91
86,2025-10-22T19:27:59.400Z,36.1407116,-86.7334204,550.7,19.61,-0.222,0.97,0.444,0,-0.17,7.64,76.01
87,2025-10-22T19:27:59.440Z,36.1407101,-86.7334237,550.6,19.59,-0.277,1.009,0.533,0,-0.39,7.17,78.85
88,2025-10-22T19:27:59.480Z,36.1407083,-86.733427,550.6,19.49,-0.384,1.046,0.493,0,-0.45,6.67,81.38
89,2025-10-22T19:27:59.520Z,36.1407065,-86.7334301,550.6,19.26,-0.408,1.059,0.305,0,-0.48,6.22,83.04
90,2025-10-22T19:27:59.560Z,36.1407046,-86.7334331,550.5,19.31,-0.473,1.057,0.023,0,-0.59,5.87,84.03
91,2025-10-22T19:27:59.600Z,36.1407025,-86.7334361,550.5,19.38,-0.473,1.018,-0.235,0,-0.54,5.76,84.27
92,2025-10-22T19:27:59.640Z,36.1407004,-86.7334388,550.4,19.21,-0.537,0.993,-0.509,0,-0.4,5.86,83.34
93,2025-10-22T19:27:59.680Z,36.1406983,-86.7334416,550.3,18.98,-0.623,0.959,-0.683,0,-0.59,6.21,81.53
94,2025-10-22T19:27:59.720Z,36.1406961,-86.733444,550.2,18.95,-0.693,0.925,-0.703,0,-0.79,6.53,79.29
95,2025-10-22T19:27:59.760Z,36.1406938,-86.7334464,550.1,18.79,-0.744,0.835,-0.677,0,-1.59,6.5,76.37
96,2025-10-22T19:27:59.800Z,36.1406914,-86.7334488,550.1,18.55,-0.776,0.706,-0.61,0,-1.98,6,71.89
97,2025-10-22T19:27:59.840Z,36.1406892,-86.7334512,550.1,18.42,-0.744,0.556,-0.498,0,-2.31,5.32,65.47
98,2025-10-22T19:27:59.880Z,36.140687,-86.7334536,550,18.41,-0.7,0.398,-0.462,0,-2.14,4.31,56.89
99,2025-10-22T19:27:59.920Z,36.1406848,-86.733456,550,18.28,-0.714,0.309,-0.485,0,-1.62,3.29,46.37
100,2025-10-22T19:27:59.960Z,36.1406825,-86.7334581,549.9,18.04,-0.753,0.276,-0.534,0,-1.1,2.28,34.3
101,2025-10-22T19:28:00.000Z,36.1406801,-86.7334603,549.9,17.93,-0.808,0.265,-0.577,0,-0.87,1.8,21.91
102,2025-10-22T19:28:00.040Z,36.1406777,-86.7334622,549.8,17.86,-0.874,0.246,-0.604,0,-0.95,1.54,9.96
103,2025-10-22T19:28:00.080Z,36.1406755,-86.7334642,549.8,17.68,-0.935,0.222,-0.603,0,-1.21,1.19,-0.53
104,2025-10-22T19:28:00.120Z,36.1406732,-86.7334663,549.7,17.51,-0.989,0.181,-0.588,0,-1.64,0.55,-8.25
105,2025-10-22T19:28:00.160Z,36.140671,-86.7334684,549.6,17.49,-1.034,0.161,-0.583,0,-1.74,-0.15,-11.95
106,2025-10-22T19:28:00.200Z,36.1406687,-86.7334704,549.6,17.46,-1.043,0.161,-0.562,0,-1.56,-0.48,-11.38
107,2025-10-22T19:28:00.240Z,36.1406663,-86.7334723,549.6,17.29,-1.067,0.202,-0.569,0,-0.91,-0.68,-7.61
108,2025-10-22T19:28:00.280Z,36.1406639,-86.733474,549.5,17.31,-1.077,0.248,-0.585,0,-0.34,-0.75,-2.02
109,2025-10-22T19:28:00.320Z,36.1406615,-86.7334757,549.5,17.2,-1.083,0.267,-0.609,0,0.14,-0.67,3.6
110,2025-10-22T19:28:00.360Z,36.1406592,-86.7334775,549.4,17.07,-1.066,0.259,-0.626,0,0.27,-0.43,7.9
111,2025-10-22T19:28:00.400Z,36.1406568,-86.7334792,549.4,17,-1.072,0.243,-0.668,0,0.19,-0.55,10.43
112,2025-10-22T19:28:00.440Z,36.1406543,-86.733481,549.3,16.99,-1.049,0.208,-0.693,0,-0.2,-0.71,11.68
113,2025-10-22T19:28:00.480Z,36.140652,-86.7334826,549.3,16.99,-0.968,0.177,-0.674,0,-0.68,-0.72,12.25
114,2025-10-22T19:28:00.520Z,36.1406497,-86.7334842,549.2,17.03,-0.883,0.166,-0.658,0,-1.08,-0.65,12.64
115,2025-10-22T19:28:00.560Z,36.1406471,-86.7334857,549.2,17.01,-0.812,0.163,-0.642,0,-1.32,-0.33,13.1
116,2025-10-22T19:28:00.600Z,36.1406447,-86.7334872,549.2,16.79,-0.758,0.179,-0.629,0,-1.34,0,13.85
117,2025-10-22T19:28:00.640Z,36.1406423,-86.7334888,549.1,16.7,-0.735,0.201,-0.634,0,-1.3,0.31,14.89
118,2025-10-22T19:28:00.680Z,36.1406398,-86.7334902,549.1,16.69,-0.752,0.234,-0.663,0,-1.12,0.49,16.14
119,2025-10-22T19:28:00.720Z,36.1406374,-86.7334915,549,16.66,-0.761,0.259,-0.66,0,-1.11,0.2,17.36
120,2025-10-22T19:28:00.760Z,36.1406349,-86.7334927,549,16.54,-0.745,0.269,-0.644,0,-0.98,-0.09,18.48
121,2025-10-22T19:28:00.800Z,36.1406325,-86.7334939,549,16.41,-0.706,0.271,-0.614,0,-0.97,-0.26,19.45
122,2025-10-22T19:28:00.840Z,36.14063,-86.733495,548.9,16.43,-0.646,0.265,-0.574,0,-0.87,-0.41,20.22
123,2025-10-22T19:28:00.880Z,36.1406275,-86.7334963,548.9,16.5,-0.59,0.252,-0.547,0,-0.65,-0.49,20.93
124,2025-10-22T19:28:00.920Z,36.140625,-86.7334974,548.9,16.43,-0.543,0.241,-0.531,0,-0.39,-0.32,21.48
125,2025-10-22T19:28:00.960Z,36.1406224,-86.7334984,548.8,16.5,-0.569,0.235,-0.558,0,0.17,-0.33,21.79
126,2025-10-22T19:28:01.000Z,36.1406199,-86.7334995,548.8,16.47,-0.636,0.244,-0.602,0,0.67,-0.94,22
127,2025-10-22T19:28:01.040Z,36.1406174,-86.7335004,548.8,16.5,-0.703,0.251,-0.642,0,1.02,-1.46,21.91
128,2025-10-22T19:28:01.080Z,36.1406147,-86.7335014,548.7,16.7,-0.714,0.263,-0.624,0,0.98,-1.95,21.72
129,2025-10-22T19:28:01.120Z,36.1406121,-86.7335023,548.7,16.95,-0.709,0.272,-0.582,0,0.88,-2.06,21.58
130,2025-10-22T19:28:01.160Z,36.1406095,-86.7335031,548.7,17.16,-0.598,0.28,-0.48,0,0.7,-1.23,21.62
131,2025-10-22T19:28:01.200Z,36.1406067,-86.733504,548.6,17.16,-0.437,0.284,-0.333,0,0.64,0.24,21.88
132,2025-10-22T19:28:01.240Z,36.1406041,-86.7335047,548.6,16.99,-0.331,0.308,-0.202,0,0.72,1.33,22.27
133,2025-10-22T19:28:01.280Z,36.1406013,-86.7335054,548.6,17.01,-0.263,0.334,-0.108,0,0.55,2.58,22.62
134,2025-10-22T19:28:01.320Z,36.1405986,-86.733506,548.6,16.99,-0.231,0.35,-0.087,0,0.34,3.43,22.94
135,2025-10-22T19:28:01.360Z,36.1405959,-86.7335065,548.5,17.03,-0.29,0.352,-0.143,0,-0.29,3.75,23.21
136,2025-10-22T19:28:01.400Z,36.1405932,-86.733507,548.5,17.01,-0.419,0.343,-0.276,0,-0.79,3.55,23.35
137,2025-10-22T19:28:01.440Z,36.1405904,-86.7335075,548.5,16.96,-0.52,0.327,-0.426,0,-1.2,3.64,23.7
138,2025-10-22T19:28:01.480Z,36.1405877,-86.7335079,548.5,16.86,-0.609,0.309,-0.569,0,-1.16,2.82,23.88
139,2025-10-22T19:28:01.520Z,36.140585,-86.7335082,548.4,16.92,-0.722,0.312,-0.696,0,-0.95,2.23,23.86
140,2025-10-22T19:28:01.560Z,36.1405822,-86.7335085,548.4,17.11,-0.788,0.318,-0.793,0,-0.72,1.65,23.69
141,2025-10-22T19:28:01.600Z,36.1405793,-86.7335088,548.4,17.56,-0.76,0.32,-0.786,0,-0.57,1.45,23.45
142,2025-10-22T19:28:01.640Z,36.1405763,-86.733509,548.4,17.93,-0.756,0.314,-0.76,0,-0.66,0.6,23.24
143,2025-10-22T19:28:01.680Z,36.1405734,-86.7335091,548.3,18.03,-0.659,0.304,-0.671,0,-0.61,0.24,23.25
144,2025-10-22T19:28:01.720Z,36.1405706,-86.7335092,548.3,17.84,-0.508,0.298,-0.539,0,-0.58,0.45,23.47
145,2025-10-22T19:28:01.760Z,36.1405677,-86.7335092,548.3,17.68,-0.379,0.301,-0.41,0,-0.35,0.02,23.64
146,2025-10-22T19:28:01.800Z,36.1405649,-86.7335092,548.3,17.54,-0.318,0.317,-0.352,0,-0.33,0.01,23.76
147,2025-10-22T19:28:01.840Z,36.1405621,-86.7335091,548.3,17.54,-0.291,0.331,-0.297,0,-0.41,0.42,23.68
148,2025-10-22T19:28:01.880Z,36.1405592,-86.7335089,548.3,17.6,-0.406,0.337,-0.335,0,-0.44,0.35,23.5
149,2025-10-22T19:28:01.920Z,36.1405563,-86.7335087,548.3,17.55,-0.57,0.326,-0.465,0,-0.64,-0.16,23.26
150,2025-10-22T19:28:01.960Z,36.1405536,-86.7335085,548.3,17.46,-0.684,0.308,-0.537,0,-0.69,-0.25,22.99
151,2025-10-22T19:28:02.000Z,36.1405507,-86.7335082,548.3,17.43,-0.743,0.291,-0.626,0,-1,-0.48,23.07
152,2025-10-22T19:28:02.040Z,36.1405478,-86.7335079,548.3,17.52,-0.706,0.294,-0.73,0,-1.11,-0.23,23.25
153,2025-10-22T19:28:02.080Z,36.1405449,-86.7335074,548.3,17.97,-0.589,0.28,-0.776,0,-1.47,0.67,23.26
154,2025-10-22T19:28:02.120Z,36.1405418,-86.7335069,548.3,18.66,-0.465,0.258,-0.767,0,-1.81,1.75,23.09
155,2025-10-22T19:28:02.160Z,36.1405386,-86.7335064,548.3,19.31,-0.462,0.246,-0.802,0,-1.92,2.59,22.29
156,2025-10-22T19:28:02.200Z,36.1405354,-86.7335059,548.3,19.59,-0.481,0.203,-0.76,0,-1.96,3.66,20.73
157,2025-10-22T19:28:02.240Z,36.1405323,-86.7335054,548.3,19.55,-0.554,0.154,-0.698,0,-2.22,4.18,18.54
158,2025-10-22T19:28:02.280Z,36.1405293,-86.7335048,548.2,19.51,-0.662,0.13,-0.68,0,-2.26,4.1,16.2
159,2025-10-22T19:28:02.320Z,36.140526,-86.7335043,548.2,19.62,-0.733,0.087,-0.641,0,-2.18,4.02,13.86
160,2025-10-22T19:28:02.360Z,36.1405228,-86.7335038,548.2,19.69,-0.721,0.046,-0.603,0,-2.13,4.4,11.67
161,2025-10-22T19:28:02.400Z,36.1405196,-86.7335032,548.2,19.83,-0.714,0.014,-0.626,0,-2,4.52,9.54
162,2025-10-22T19:28:02.440Z,36.1405165,-86.7335027,548.2,20.16,-0.707,-0.035,-0.624,0,-1.83,5.02,7.53
163,2025-10-22T19:28:02.480Z,36.140513,-86.7335021,548.2,20.49,-0.681,-0.088,-0.64,0,-1.66,6.03,5.25
164,2025-10-22T19:28:02.520Z,36.1405098,-86.7335016,548.2,20.64,-0.686,-0.123,-0.656,0,-1.48,6.54,2.83
165,2025-10-22T19:28:02.560Z,36.1405064,-86.7335012,548.1,20.59,-0.604,-0.161,-0.649,0,-1.41,7.01,0.59
166,2025-10-22T19:28:02.600Z,36.1405031,-86.7335007,548.1,20.51,-0.607,-0.174,-0.72,0,-1.24,6.77,-1.26
167,2025-10-22T19:28:02.640Z,36.1404998,-86.7335003,548.1,20.59,-0.525,-0.184,-0.77,0,-0.84,5.75,-2.71
168,2025-10-22T19:28:02.680Z,36.1404965,-86.7334999,548.1,20.58,-0.444,-0.185,-0.809,0,-0.45,5.07,-3.72
169,2025-10-22T19:28:02.720Z,36.1404931,-86.7334995,548.1,20.75,-0.429,-0.186,-0.882,0,-0.14,5.52,-4.54
170,2025-10-22T19:28:02.760Z,36.1404898,-86.7334991,548.1,21.07,-0.408,-0.188,-0.899,0,-0.05,4.71,-5.35
171,2025-10-22T19:28:02.800Z,36.1404863,-86.7334987,548.1,21.1,-0.328,-0.206,-0.825,0,-0.22,4.63,-6.35
172,2025-10-22T19:28:02.840Z,36.1404829,-86.7334986,548.1,20.96,-0.317,-0.225,-0.771,0,-0.42,4.73,-7.38
173,2025-10-22T19:28:02.880Z,36.1404795,-86.7334982,548.1,20.92,-0.301,-0.244,-0.706,0,-0.66,4.08,-8.47
174,2025-10-22T19:28:02.920Z,36.1404762,-86.7334981,548.1,21.03,-0.244,-0.275,-0.639,0,-1.06,2.49,-9.55
175,2025-10-22T19:28:02.960Z,36.1404727,-86.733498,548.1,21.11,-0.275,-0.315,-0.599,0,-1.21,2.52,-10.89
176,2025-10-22T19:28:03.000Z,36.1404694,-86.7334979,548.1,21.15,-0.299,-0.348,-0.573,0,-1.38,1.07,-12.31
177,2025-10-22T19:28:03.040Z,36.1404659,-86.7334979,548,21.24,-0.307,-0.384,-0.528,0,-1.71,0.4,-14.14
178,2025-10-22T19:28:03.080Z,36.1404624,-86.733498,548,21.21,-0.304,-0.425,-0.488,0,-2.13,-0.24,-16.16
179,2025-10-22T19:28:03.120Z,36.1404591,-86.7334981,548,21.17,-0.313,-0.468,-0.534,0,-2.5,-0.66,-18.44
180,2025-10-22T19:28:03.160Z,36.1404557,-86.7334983,548,21.05,-0.334,-0.511,-0.56,0,-2.7,-1.4,-20.5
181,2025-10-22T19:28:03.200Z,36.1404523,-86.7334987,548,21.05,-0.306,-0.545,-0.591,0,-2.6,-0.83,-22.44
182,2025-10-22T19:28:03.240Z,36.1404489,-86.7334992,548,20.98,-0.382,-0.557,-0.688,0,-2.15,-0.69,-24.03
183,2025-10-22T19:28:03.280Z,36.1404456,-86.7334997,548,20.93,-0.51,-0.556,-0.733,0,-1.87,-0.13,-25.1
184,2025-10-22T19:28:03.320Z,36.1404422,-86.7335003,548,20.94,-0.592,-0.557,-0.685,0,-1.57,0.44,-26.04
185,2025-10-22T19:28:03.360Z,36.1404388,-86.733501,547.9,20.76,-0.722,-0.547,-0.645,0,-1.47,0.6,-26.75
186,2025-10-22T19:28:03.400Z,36.1404356,-86.7335017,547.9,20.45,-0.827,-0.533,-0.574,0,-1.47,0.82,-27.17
187,2025-10-22T19:28:03.440Z,36.1404325,-86.7335026,547.9,20.12,-0.854,-0.522,-0.482,0,-1.6,0.45,-27.27
188,2025-10-22T19:28:03.480Z,36.1404294,-86.7335034,547.9,19.89,-0.834,-0.5,-0.428,0,-1.6,-0.25,-27.01
189,2025-10-22T19:28:03.520Z,36.1404263,-86.7335043,547.9,19.82,-0.86,-0.47,-0.432,0,-1.44,-1.01,-26.29
190,2025-10-22T19:28:03.560Z,36.1404232,-86.7335052,547.9,19.84,-0.825,-0.455,-0.428,0,-1.12,-1.25,-25.65
191,2025-10-22T19:28:03.600Z,36.1404201,-86.7335063,547.9,19.86,-0.827,-0.436,-0.431,0,-0.86,-1.7,-25.13
192,2025-10-22T19:28:03.640Z,36.140417,-86.7335075,547.9,19.67,-0.86,-0.437,-0.448,0,-0.75,-1.28,-24.82
193,2025-10-22T19:28:03.680Z,36.1404141,-86.7335085,547.9,19.44,-0.853,-0.453,-0.4,0,-0.84,-0.48,-24.92
194,2025-10-22T19:28:03.720Z,36.1404111,-86.7335099,547.8,19.26,-0.913,-0.484,-0.4,0,-1.03,-0.26,-25.5
195,2025-10-22T19:28:03.760Z,36.1404083,-86.7335112,547.8,19.2,-0.916,-0.532,-0.389,0,-1.2,-0.17,-26.58
196,2025-10-22T19:28:03.800Z,36.1404055,-86.7335127,547.8,18.98,-0.905,-0.574,-0.334,0,-1.28,-0.38,-27.98
197,2025-10-22T19:28:03.840Z,36.1404027,-86.7335143,547.8,18.8,-0.951,-0.608,-0.364,0,-1.06,-1.46,-29.48
198,2025-10-22T19:28:03.880Z,36.1404,-86.7335159,547.8,18.81,-0.942,-0.637,-0.397,0,-0.73,-2.24,-30.98
199,2025-10-22T19:28:03.920Z,36.1403972,-86.7335175,547.8,18.77,-0.899,-0.656,-0.359,0,-0.19,-2.63,-32.41
